Ticker,Navn,Siste,endring,Kjøper,Selger,Tid,Omsatt (MNOK),Ant. handler,Markedsverdi (MNOK),,,,
2020,2020 Bulkers,"55,4","−5,14%","55,4",56,16:11,,,,,"0,7",57,"1 228,27"
FIVEPG,5th Planet Games,"1,05","−2,78%","1,05","1,08",16:25,,,,,"0,97",189,"111,63"
AASB-ME,Aasen Sparebank,126,-,121,128,09:04,,,,,"0,03",3,"127,75"
ASC,ABG Sundal Collier Holding,"5,03","−3,64%","5,03","5,05",16:25,,,,,"3,85",366,"2 222,05"
ADE,Adevinta,"150,9","−1,50%","150,9",151,16:25,,,,,"71,85",2843,"103 350,85"
ADSC-ME,ADS Crude Carriers,"20,8","−2,80%","20,8",21,16:25,,,,,"2,9",133,"486,52"
AEGA,Aega,"1,7","−5,56%","1,66","1,7",16:25,,,,,"0,78",110,"81,69"
AFG,AF Gruppen,151,"0,00%",151,"151,4",16:25,,,,,"4,35",250,"16 005,77"
AGLX-ME,Agilyx,"22,8","0,00%","21,6","22,8",16:25,,,,,"1,95",116,"1 645,68"
AKA,Akastor,"7,12","−3,00%",7,"7,12",16:25,,,,,"2,62",168,"1 933,86"
AKER,Aker,"360,4","−3,48%",360,"360,4",16:25,,,,,"53,14",1852,"26 767,90"
AKBM-ME,Aker BioMarine,"78,2","−2,32%","78,2",79,16:25,,,,,"5,11",514,"6 849,23"
AKERBP,Aker BP,"142,4","−3,95%","142,35","142,4",16:25,,,,,"164,58",5033,"51 279,69"
ACC-ME,Aker Carbon Capture,"7,16","−0,56%","7,05","7,16",16:25,,,,,"26,71",1778,"4 052,99"
AOW-ME,Aker Offshore Wind Holding,"3,43","−7,65%","3,43","3,47",16:25,,,,,"15,12",1312,"2 096,98"
AKSO,Aker Solutions,"8,5","−4,55%","8,5","8,5",16:25,,,,,"51,34",2763,"2 310,15"
AKVA,AKVA Group,70,"0,29%","68,4",70,16:25,,,,,"0,92",63,"2 316,47"
AMSC,American Shipping Company,"26,65","−1,30%","26,65","27,3",16:25,,,,,"1,43",144,"1 615,43"
ANDF-ME,Andfjord Salmon,"40,2","−7,59%","40,2","41,2",16:25,,,,,"3,11",71,"1 354,77"
ABT,Aqua Bio Technology,"4,76","−7,57%","4,6","4,76",16:25,,,,,"0,35",67,"87,52"
AQUA,AqualisBraemar,"5,65","−3,42%","5,35","5,6",15:52,,,,,"0,18",29,"397,29"
ARCHER,Archer,"2,16","−5,90%","2,11","2,16",16:25,,,,,"0,58",73,"318,8"
AZT,ArcticZymes Technologies,"52,6","−1,87%","52,6",53,16:25,,,,,"25,14",1477,"2 542,40"
ARCUS,Arcus,40,"−5,21%",40,"40,7",16:25,,,,,"4,24",484,"2 712,03"
AFK,Arendals Fossekompani,"3 800,00","8,57%","3 800,00","3 820,00",16:25,,,,,"7,63",292,"8 319,79"
ARR,Arribatec Solutions,"1,84","−5,88%","1,84","1,86",16:25,,,,,"0,53",81,"165,43"
ASETEK,Asetek,"73,7","−7,64%","73,7","73,9",16:25,,,,,"5,01",302,"1 886,24"
ATEA,Atea,"107,8","−4,94%","107,6","107,8",16:25,,,,,"7,07",636,"11 868,24"
ATLA NOK,Atlantic Petroleum,"4,61",-,"4,6","5,58",10:53,,,,,"0,02",12,"17,05"
ASA,Atlantic Sapphire,"86,2","−2,05%",86,"86,2",16:25,,,,,"36,25",927,"6 910,10"
AURG,Aurskog Sparebank,198,"−1,98%",198,200,14:18,,,,,"0,94",10,"636,41"
AUSS,Austevoll Seafood,"63,8","−3,48%","63,8","63,85",16:25,,,,,"22,03",1540,"12 876,38"
AVANCE,Avance Gas Holding,"26,22","−5,68%","26,1","26,22",16:25,,,,,"22,33",1016,"1 669,07"
AWDR,Awilco Drilling,"2,37","0,00%","2,28","2,38",16:07,,,,,"0,06",21,"129,36"
ALNG,Awilco LNG,"1,18","−6,72%","1,17","1,18",15:32,,,,,"0,54",98,"156,41"
